target soma method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now
G35.58-0.03 soma_ii "average model method 2" 37 416.51158 1.17499 2.24456 1.70428 30.90060 1.49448 48.40853 11.82274 10200.0 9.97511 13.97761 0.10024 1.37734 348.85965 1.16791 1.78637e+01 7.45208 22.98790 1.65800 3.26996e+05 1.40338 2.88030e+04 1.38880 10.30020 1.49448 6.62569e+01 1.73813 1.61195e-03 1.25176 3.85332e+05 1.49474 2.47547e+05 1.07968 2.35299e+05 1.06165 3.69058e+04 1.79731
IRAS16562 soma_ii "average model method 2" 279 164.33865 1.55746 0.96301 2.75053 32.38389 1.74225 62.70935 17.71317 1700.0 44.35816 38.66563 0.09613 1.94470 78.21772 1.63858 4.00173e+01 11.75831 10.44133 1.69392 1.95722e+05 2.65001 3.75910e+04 1.36367 10.79463 1.74225 1.41392e+02 1.89264 5.62400e-04 2.07941 2.49266e+05 2.57856 5.07054e+04 1.48320 3.71079e+04 1.20255 9.40244e+04 2.09371
G305.20+0.21 soma_ii "average model method 2" 106 213.31479 1.66411 0.29943 4.11822 33.71924 1.48743 63.85470 15.99728 4100.0 11.53901 15.23422 0.19641 2.57221 108.12430 2.14692 4.09204e+01 11.07962 9.25776 1.48654 1.85057e+05 2.00815 3.93663e+04 1.27074 11.23975 1.48743 2.49332e+02 2.10245 2.52976e-04 2.46046 2.15294e+05 1.99905 5.96685e+04 1.28807 5.29413e+04 1.13756 2.15850e+05 2.71152
G305.20+0.21A soma_ii "average model method 2" 1520 174.13126 1.74520 0.81652 2.67097 24.52631 1.96847 56.80013 21.68987 4100.0 167.69099 100.09900 0.10746 2.01586 96.75559 2.04849 3.34664e+01 15.36655 11.63666 1.95666 1.19622e+05 3.21438 3.14840e+04 1.53008 8.17544 1.96847 1.20950e+02 2.02493 4.63177e-04 1.96770 1.50098e+05 3.11554 8.08032e+04 4.11766 2.20108e+04 1.27778 9.00859e+04 2.10190
G49.27-0.34 soma_ii "average model method 2" 972 196.96793 1.84855 0.43216 3.35632 26.13986 1.91568 56.28233 21.30602 5550.0 163.15599 94.23801 0.15710 2.40643 111.76693 2.13166 3.48896e+01 14.45040 9.93102 1.82388 1.18572e+05 3.16515 3.40056e+04 1.44765 8.71329 1.91568 1.71345e+02 2.21821 3.03444e-04 2.08533 1.45589e+05 2.98885 8.46499e+04 4.19885 2.05821e+04 1.18353 1.45689e+05 2.46886
G339.88-1.26 soma_ii "average model method 2" 322 180.37505 1.60006 0.57628 2.32498 22.33842 1.89807 64.79110 16.34152 2100.0 73.72526 54.90883 0.13019 1.84559 110.21795 1.80289 3.12932e+01 13.88515 8.89356 1.66132 9.25674e+04 3.19082 3.37776e+04 1.31982 7.44614 1.89807 1.31028e+02 1.77095 3.53885e-04 1.82969 1.20170e+05 3.00148 3.99029e+04 1.48706 2.66030e+04 1.12369 1.09812e+05 1.77284
S235 soma_iii "average model method 1" 5 30.17088 2.08304 0.79376 3.52958 8.00000 2.66514 63.62553 20.03225 1800.0 2.01791 4.03583 0.04537 2.67539 7.93887 1.29023 5.43941e+01 16.23955 5.38316 1.41108 1.39267e+03 56.44396 1.52053e+04 2.82023 2.66667 2.66514 9.36598e+01 3.79647 1.15407e-04 2.01032 1.21580e+04 3.67092 1.42430e+03 1.09716 1.39516e+03 1.09500 8.61000e+04 3.68100
IRAS22198 soma_iii "average model method 2" 7 10.00000 1.00000 2.68104 1.54477 3.62289 1.29951 67.37667 12.62118 764.0 41.16506 18.18433 0.01421 1.24289 1.94932 1.55842 5.37028e+01 5.93350 29.04042 2.13413 7.50161e+02 5.86150 5.60840e+03 1.06510 1.20763 1.29951 3.78732e+01 1.04753 1.66620e-04 1.42402 1.64675e+03 1.40342 2.13486e+02 1.24507 1.68159e+02 1.12134 3.10867e+04 1.18341
NGC2071 soma_iii "average model method 2" 2 10.00000 1.00000 3.16000 1.00000 4.00000 1.00000 59.98620 1.65444 390.0 26.49346 26.49346 0.01309 1.00000 1.64837 1.00000 5.61251e+01 0.00000 38.67560 1.00000 1.46364e+03 1.00000 5.74370e+03 1.00000 1.33333 1.00000 3.85438e+01 1.00000 1.90437e-04 1.00000 1.87180e+03 1.00000 3.81834e+02 1.45254 2.87863e+02 1.02655 2.91697e+04 1.00000
CepE soma_iii "average model method 2" 15 10.00000 1.00000 0.63078 1.79351 3.03143 1.42118 70.06113 10.84605 730.0 46.69009 39.53447 0.02930 1.33922 2.21127 1.98083 5.26966e+01 7.66362 21.86055 3.00184 1.97920e+02 7.97636 4.63280e+03 1.03096 1.01048 1.42118 7.04481e+01 1.09383 5.25743e-05 1.60913 6.55983e+02 2.02453 9.99040e+01 1.41285 7.91908e+01 1.16767 8.45807e+04 1.24378
L1206_A soma_iii "average model method 2" 46 24.18330 1.28787 1.82266 1.78799 3.38902 1.92807 48.93270 18.21632 776.0 110.21328 83.71305 0.02680 1.40830 13.25954 2.14269 2.98616e+01 13.17616 9.34004 2.92972 1.06566e+02 32.27302 6.07131e+03 1.48422 1.12967 1.92807 2.94783e+01 2.20769 2.02230e-04 1.40569 4.33077e+03 1.91786 1.66083e+03 1.33141 1.08566e+03 1.46059 2.98598e+04 2.07596
L1206_B soma_iii "average model method 2" 20 10.00000 1.00000 0.31600 1.00000 4.00000 1.00000 57.34504 21.41925 776.0 101.38650 57.48726 0.04140 1.00000 0.62562 1.00000 6.83507e+01 0.00000 27.85360 1.00000 5.85099e+02 1.00000 5.38168e+03 1.00000 1.33333 1.00000 1.60768e+02 1.00000 2.43219e-05 1.00000 6.67866e+02 1.00000 3.11607e+02 4.66018 3.52304e+01 1.11314 1.78240e+05 1.00000
IRAS22172_mir1 soma_iii "average model method 2" 6240 84.87759 2.65471 0.82205 2.97620 6.65210 3.95525 57.34504 21.41925 2400.0 425.35134 286.40898 0.07477 1.87337 52.46414 3.52995 2.61247e+01 18.14435 8.91197 2.71121 1.47627e+03 119.77722 1.19910e+04 2.56151 2.21737 3.95525 5.45342e+01 2.61175 2.10884e-04 3.88928 1.25758e+04 13.08418 8.10989e+03 12.44265 1.77677e+03 5.53818 5.51481e+04 2.44741
IRAS22172_mir2 soma_iii "average model method 2" 45 35.81040 2.25145 0.30036 2.91115 6.46507 2.58277 51.60067 29.65400 2400.0 49.39109 42.09721 0.08035 2.21677 10.05017 3.33428 4.62901e+01 21.92885 10.08699 2.61077 2.10163e+03 19.94277 1.23115e+04 2.29989 2.15502 2.58277 1.26924e+02 2.79742 5.52488e-05 1.88951 5.24659e+03 6.43882 2.10310e+03 2.54440 9.09320e+02 1.22880 1.53175e+05 2.55929
IRAS22172_mir3 soma_iii "average model method 2" 5778 84.94301 2.67564 0.86172 3.02365 7.37977 3.68934 57.17064 21.46650 2400.0 380.64763 313.27697 0.07306 1.86769 51.27913 3.58627 2.70371e+01 17.98923 9.55020 2.66779 2.03056e+03 102.69984 1.25444e+04 2.52469 2.45992 3.68934 5.74243e+01 2.50378 2.28515e-04 3.90114 1.47745e+04 12.38015 9.37962e+03 11.92792 2.10184e+03 4.75800 5.61611e+04 2.42240
IRAS21391_bima2 soma_iii "average model method 2" 121 10.40914 1.17644 0.78789 2.61781 1.79375 2.08030 65.69763 17.98046 750.0 95.81262 97.44585 0.02675 1.58139 4.36707 2.18950 3.91774e+01 14.36622 6.66075 3.37655 1.97765e+01 16.43730 4.71875e+03 1.12795 0.59792 2.08030 3.68987e+01 1.70770 5.70095e-05 2.54676 6.40335e+02 2.61636 1.95039e+02 2.85198 1.15979e+02 2.01104 5.16667e+04 1.77761
IRAS21391_bima3 soma_iii "average model method 2" 1809 44.84284 2.27815 2.09120 1.88237 5.30578 3.37998 58.03224 21.13285 750.0 489.32173 306.17184 0.03408 1.43565 24.73236 3.07502 2.77455e+01 15.59880 10.74628 3.38402 7.10095e+02 127.41243 9.09393e+03 2.31079 1.76859 3.37998 3.31324e+01 2.24132 3.28002e-04 2.78544 1.23578e+04 8.05923 6.83373e+03 8.00592 1.36756e+03 3.33711 2.87915e+04 1.88723
IRAS21391_mir48 soma_iii "average model method 2" 4 10.00000 1.00000 0.31600 1.00000 4.00000 1.00000 84.25170 3.22195 750.0 59.77515 11.30450 0.04140 1.00000 0.62562 1.00000 6.83507e+01 0.00000 27.85360 1.00000 5.85099e+02 1.00000 5.38168e+03 1.00000 1.33333 1.00000 1.60768e+02 1.00000 2.43219e-05 1.00000 6.67866e+02 1.00000 3.29756e+01 1.16165 2.08339e+01 1.03661 1.78240e+05 1.00000
AFGL2591 soma_iv "average model method 2" 74 312.65767 1.50814 0.69883 3.68861 50.74701 1.45597 37.64542 15.79509 3300.0 67.23563 41.95689 0.15565 2.33177 177.70102 1.62073 3.73719e+01 7.83406 11.05054 1.25283 4.51597e+05 1.82978 4.50348e+04 1.10542 16.91567 1.45597 1.97680e+02 2.06116 6.88846e-04 2.35067 5.58812e+05 1.77677 6.98131e+05 3.40583 1.67369e+05 1.16015 1.26799e+05 2.58710
G33.92+0.11 soma_iv "average model method 2" 154 338.54157 1.45671 0.93441 2.75415 51.57447 1.61495 54.47642 16.94567 7100.0 21.03611 25.61499 0.14007 1.97020 200.03135 1.47947 3.49437e+01 10.56637 12.86709 1.35734 5.19106e+05 1.90691 4.32141e+04 1.18501 17.19149 1.61495 1.69244e+02 2.07800 8.96438e-04 1.84507 6.31224e+05 1.82149 1.99392e+05 1.34404 1.66071e+05 1.11159 1.00550e+05 2.30971
G30.59-0.04 soma_iv "average model method 2" 180 409.07207 1.23442 1.58444 1.75986 31.45454 1.40188 62.94964 17.67617 11800.0 45.34175 32.16848 0.11824 1.42249 338.15806 1.26779 1.92914e+01 6.38735 14.14882 1.83598 2.64792e+05 1.54971 3.48271e+04 1.34815 10.48485 1.40188 8.02652e+01 1.58772 1.24170e-03 1.39767 3.47615e+05 1.49052 2.01241e+05 1.21846 1.65320e+05 1.10869 4.86092e+04 1.68585
G25.40-0.14 soma_iv "average model method 2" 40 435.50315 1.16146 1.67826 1.78549 41.89546 1.72600 44.18077 12.66175 5700.0 6.77107 17.03096 0.11854 1.41090 324.25974 1.20617 2.42731e+01 11.11357 18.72495 1.65372 4.53475e+05 1.80664 3.46322e+04 1.43438 13.96515 1.72600 9.73537e+01 2.00415 1.45819e-03 1.25711 5.44159e+05 1.85314 2.73700e+05 1.21682 2.57863e+05 1.07366 5.35528e+04 1.99750
G32.03+0.05 soma_iv "average model method 2" 398 148.11125 1.93640 0.22150 3.14322 19.84745 1.74621 62.03083 17.59804 5500.0 51.80327 60.25662 0.19028 2.40665 72.65937 2.76063 3.87449e+01 16.70177 6.89972 1.65967 5.25761e+04 3.29886 3.32915e+04 1.28669 6.61582 1.74621 2.16844e+02 2.01095 1.38823e-04 1.95044 6.70018e+04 2.97261 2.56951e+04 3.05534 1.35324e+04 1.11888 2.27588e+05 2.19420
G32.03+0.05N soma_iv "average model method 2" 848 245.04637 1.76319 0.46545 3.28301 31.08724 2.14622 60.20649 19.70384 5500.0 173.55480 103.42583 0.16884 2.30999 137.22639 1.93500 3.49566e+01 15.99831 11.39985 1.81236 1.71682e+05 3.75115 3.48164e+04 1.47214 10.36241 2.14622 1.80918e+02 2.36574 3.65897e-04 2.11458 2.06236e+05 3.53394 9.40779e+04 4.03893 2.54801e+04 1.11546 1.42818e+05 2.52084
G40.62-0.14 soma_iv "average model method 2" 142 64.18334 1.52314 0.61452 2.64514 15.20858 1.54087 69.11635 14.35635 2200.0 58.97623 38.62600 0.07520 1.92632 24.39959 2.12542 4.37602e+01 10.72586 8.88840 1.84187 3.81779e+04 2.39995 2.70765e+04 1.50312 5.06953 1.54087 1.28906e+02 1.59724 2.07711e-04 1.92453 4.86507e+04 2.44009 9.16241e+03 1.37865 6.23243e+03 1.10298 1.15198e+05 1.87562
IRAS23385 soma_iv "average model method 2" 1692 51.58872 2.04284 0.51734 3.06235 5.09149 2.89346 56.90245 21.66426 4900.0 265.21415 255.17878 0.07348 2.29491 26.14812 3.00721 3.18718e+01 20.15362 7.76039 2.54240 6.40087e+02 56.13628 1.04272e+04 2.40637 1.69716 2.89346 6.52972e+01 2.93538 1.06760e-04 2.01882 5.62264e+03 5.86784 3.48660e+03 5.84442 7.86386e+02 1.32779 7.83579e+04 2.80473
HH288 soma_iv "average model method 2" 92 17.50100 1.52543 0.44870 3.33201 3.09606 1.83211 52.39434 23.08622 2000.0 147.59796 99.35736 0.04596 2.23225 6.94825 2.92612 4.00633e+01 14.69936 12.61267 2.70138 2.04616e+02 15.26593 6.15010e+03 1.52256 1.03202 1.83211 6.58506e+01 2.00125 5.49819e-05 2.07540 1.05869e+03 2.63530 6.63443e+02 3.19415 1.88517e+02 1.11517 9.14881e+04 2.30864
IRAS00420 soma_iv "average model method 2" 429 32.48155 1.96954 0.36537 2.69403 3.43637 1.98930 48.68734 23.10835 2200.0 102.87336 91.58289 0.06938 2.01671 17.25829 3.21992 3.17631e+01 18.34708 10.63892 2.76973 1.77036e+02 18.95619 6.45831e+03 1.77405 1.14546 1.98930 6.51388e+01 2.30411 6.08638e-05 1.90411 1.48290e+03 3.34383 1.20963e+03 3.65193 4.30353e+02 1.63555 9.40486e+04 2.35111
IRAS00259 soma_iv "average model method 2" 2427 44.58860 2.28724 0.51747 2.95596 3.28880 2.80928 55.28284 22.21399 2500.0 230.19300 205.65595 0.06831 1.99074 25.23838 3.56651 2.74097e+01 20.28413 6.68877 2.65930 1.11304e+02 48.95875 7.25281e+03 2.10647 1.09627 2.80928 4.86108e+01 2.59752 8.56266e-05 2.74643 2.45125e+03 6.09840 1.74573e+03 6.37773 5.22345e+02 2.79922 6.47581e+04 2.55345
